orfao_id,descricao,fornecedor_nome,nota_numero,data_emissao,melhor_produto_id,melhor_produto_nome,melhor_score,segundo_score,ambiguo,faixa
e4dbc93d-aa1d-454b-981f-e86f50f9379a,RED BULL TROPICAL BR LATA 250ML FOUR PACK NPAL .,CDD Aracaju,389754,2026-04-03,88ffd094-48e6-417f-a9a7-3cce32f28fd9,Red Bull Tropical,0.3000,0.2000,true,0.20-0.40
9ac900a9-4433-4036-b0f8-b7f114f0c08f,GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL,CDD Aracaju,389754,2026-04-03,9e027fda-c6b4-40a8-874d-6584642f78ba,Guarana Antarctica lata 350ml,0.5556,0.4000,false,0.40-0.60
7065242c-910f-4d4a-b9a0-04f270b1da5a,"CHOPP BRAHMA CLARO BARRIL KEG 30L          13,7590",CDD Aracaju,389753,2026-04-03,83f0ed20-ca74-43e6-a800-8c4680518eff,CHOPP,0.1250,0.1000,true,<0.20
8837bc88-afb4-46b6-86b3-e047b7ae269f,LAVA ROUPA PO TIXAN SC 400G PRIMAV,Assai atacadista,104378,2026-04-11,a6e6d343-ef57-489d-bc9e-7ef522349231,leite em po,0.1111,0.1111,true,<0.20
cf188c65-1932-449c-9f7f-b7a5469eb69d,"LING T CALAB DEF PERDIGAO 2,5KG RET",Assai atacadista,104378,2026-04-11,e5a0c0d1-cf0c-4232-9721-e8a2589ec119,Cenoura kg,0.1429,0.1250,true,<0.20
9c05723f-d343-456a-832d-d66f9c3ea7d2,QJ T PARM DAVACA KG,Assai atacadista,104378,2026-04-11,e5a0c0d1-cf0c-4232-9721-e8a2589ec119,Cenoura kg,0.2000,0.2000,true,0.20-0.40
066d9b6a-7c34-4211-9a35-7502b581e484,QJ T REINO QUATA KG,Assai atacadista,104378,2026-04-11,23dc984e-032e-4be8-8668-05fe486264cf,queijo do reino,0.4000,0.3333,true,0.40-0.60
a94d77c3-9e66-48f1-9dba-33cb9e27aad8,RODO C/ CABO ALKLIN DEC 40CM,Assai atacadista,104378,2026-04-11,35d18044-4d97-4433-80ee-4dee129ad0c7,Tomate cereja  - 40g,0.1250,0.0833,true,<0.20
cad6c792-352d-4a4d-8672-3fd780685697,SACO ALGOBOM 49CMX68CM XADREZ,Assai atacadista,104378,2026-04-11,68aa7906-0a99-4fdd-8840-2aa5e038524b,Saco de porcionamento médio,0.1000,0.1000,true,<0.20
aad5b93d-18c1-4494-b96c-0697ea6e5eff,TOALHA PAPEL SCALA C/2RL,Assai atacadista,104378,2026-04-11,dd824b9e-e39d-49cc-8877-c92b22c4881f,Papel higiênico,0.2000,0.2000,true,0.20-0.40
ef7dcaa2-de09-4adc-a73d-5724b45d947d,VINHO NAC CHALISE 750ML TTO SECO,Assai atacadista,104378,2026-04-11,28fc6a1a-b541-450f-a9ea-74e1b4ed0ea3,Vinho Tinto Paulo Laureano Classico Portugues 750ml,0.3636,0.3000,true,0.20-0.40
71f65489-9a24-4db2-b7b3-af68962f1da2,"OLEO MISTO STA ISABEL 5,02L",Assai atacadista,136479,2026-04-12,2dc323c7-7b96-4884-a5fb-9e57281b7e7c,oleo de soja,0.1429,0.1429,true,<0.20
