bucket,produto_id,nome,tipo,descontinuado,controla_estoque,categoria_compras,items_nfe_matched,orfaos_token_match,vendas_total,vendas_90d,vendas_30d,qtd_vendida_30d,ultima_venda
DESCONTINUADO,ab75d8e8-5aee-4b5a-9229-065426557d3e,* Excluído * Bacon,INSUMO,true,true,,0,2,0,0,0,0,
NUNCA_VENDIDO,6879c8c7-884d-4a15-aad7-d117d0721f6f,canela em pó,INSUMO,false,true,,0,0,0,0,0,0,
AUTO_NFE,ae2172cf-7e55-412f-b1d3-91075a717e0a,Vinho Tinto Rizieri Barolo Silio Reserva,VENDA_SIMPLES,false,true,,0,6,0,0,0,0,
DESCONTINUADO,37c12f2b-2056-420c-9edf-c6c272ad8307,* Excluído * Rum Bacardi Carta Ouro 980ml,INSUMO,true,true,,0,2,0,0,0,0,
AUTO_NFE,a59b36e0-fe09-4047-84b3-2786d985d8ec,Cerveja Lagunitas 355 ml,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
NUNCA_VENDIDO,8e9c209c-11a9-4220-a051-f8d424bbf166,RISOTO DE COGUMELOS-MOUNJARO,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
AUTO_NFE,1dff5be7-cec6-466b-9d75-81bdeeaa18b6,CHEESE CAKE DE MARACUJA E CHOCOLATE,VENDA_SIMPLES,false,true,,0,7,0,0,0,0,
DESCONTINUADO,318b5050-3ace-4dc9-a473-25bb0b909177,* Excluído * Vinho Branco Lespinouse,VENDA_SIMPLES,true,true,,0,14,0,0,0,0,
AUTO_NFE,a6d171c2-798a-4b97-8f67-1d1f7355445c,TORNEDOR 200G,VENDA_SIMPLES,false,false,,0,8,0,0,0,0,
DESCONTINUADO,4be2c55a-cd3e-4417-986a-c54da625abd2,* Excluído * Campari Dose,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
AUTO_NFE,66f9e366-227d-4cb8-999f-5b0bd5d685f1,GELEIA DE PIMENTA,INSUMO,false,true,,0,1,0,0,0,0,
DESCONTINUADO,70c58886-df7c-4863-9eaf-463c1b629612,* Excluído * Castanha triturada,INSUMO,true,true,,0,0,0,0,0,0,
DESCONTINUADO,039a9589-c494-4ffc-8537-65252c50636d,* Excluído * Lagarto angus,INSUMO,true,true,,0,2,0,0,0,0,
NUNCA_VENDIDO,8dbd80a1-949e-40a7-ad07-cd6de2e81d12,CAMARÃO BRILHANTE,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
AUTO_NFE,2633bb04-349d-4cf4-877e-e1bb83cf7da1,Agua de Coco copo,VENDA_SIMPLES,false,false,,0,16,0,0,0,0,
DESCONTINUADO,13cf3927-5235-4f12-adb2-ef8677275e9e,* Excluído * Massa Rap10,INSUMO,true,true,,0,5,0,0,0,0,
AUTO_NFE,007b0e9b-c088-4a47-b0a0-7f50c4cf2321,PANQUECA BRULEE (ZERO LACTOSE),VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
AUTO_NFE,caceb289-50be-4175-b2a8-18bd768a69c1,chivas regal 18 anos 750ml,INSUMO,false,true,,0,14,0,0,0,0,
